file,mode,hash_workers,data_workers,comp_workers,trials,avg_compareTime_s,avg_hashGroupTime_s,avg_hashTime_s,min_compareTime_s,min_hashGroupTime_s,min_hashTime_s
coarse.txt,seq,1,1,1,10,0.02061362,0.01104037,0.01094038,0.0187501,0.0067965,0.0067965
coarse.txt,chan,2,1,1,10,0.02295316,0.00608142,0.00597937,0.0151975,0.0,0.0
coarse.txt,mutex,2,2,1,10,0.02366516,0.00484734,0.00484734,0.0174189,0.0,0.0
coarse.txt,chan,4,1,1,10,0.02196318,0.00479996,0.00479996,0.0124725,0.0,0.0
coarse.txt,mutex,4,4,1,10,0.02077775,0.005818,0.005818,0.0166765,0.0041082,0.0041082
coarse.txt,chan,8,1,1,10,0.02128968,0.00406334,0.00406334,0.0164554,0.0020094,0.0020094
coarse.txt,mutex,8,8,1,10,0.0215628,0.0058351900000000005,0.00567071,0.0162986,0.0021681,0.0021681
coarse.txt,chan,16,1,1,10,0.0397955,0.00712008,0.00670856,0.0177532,0.0031709,0.0021511
coarse.txt,mutex,16,16,1,10,0.02958505,0.0072587400000000005,0.00659161,0.0177853,0.0031076,0.0031076
fine.txt,seq,1,1,1,10,1.17838868,0.02815159,0.01300233,0.9570697,0.0186205,0.009181
fine.txt,chan,2,1,1,10,0.74057492,0.02972217,0.02171184,0.5551391,0.014366,0.0104983
fine.txt,mutex,2,2,1,10,0.63883143,0.02721862,0.02648068,0.5841732,0.0226807,0.0226807
fine.txt,chan,4,1,1,10,0.64560252,0.0302492,0.02459107,0.6278529,0.0267264,0.0189346
fine.txt,mutex,4,4,1,10,0.65577511,0.0343422,0.03201899,0.6346664,0.0280415,0.0260517
fine.txt,chan,8,1,1,10,0.66531513,0.039055269999999996,0.03005609,0.6354203,0.0351062,0.0208782
fine.txt,mutex,8,8,1,10,0.70368561,0.037912390000000004,0.03775837,0.6476769,0.0301218,0.0301218
fine.txt,chan,16,1,1,10,0.67277244,0.039470859999999997,0.03330516,0.6479418,0.0284123,0.0214615
fine.txt,mutex,16,16,1,10,0.71194598,0.03899241,0.03867205,0.6638015,0.0318184,0.0313821
